phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
6746509,https://www.empresas-lnterlbnlk-pe.com/,http://www.phishtank.com/phish_detail.php?phish_id=6746509,2020-08-27T05:24:50+00:00,yes,2020-08-27T05:25:56+00:00,yes,Virustotal
6746503,https://techdirectbh.com/contact,http://www.phishtank.com/phish_detail.php?phish_id=6746503,2020-08-27T05:10:16+00:00,yes,2020-08-27T05:15:51+00:00,yes,Virustotal
6746502,https://dreambodygurus.com/OMMOM/OM9u8/Office365.php,http://www.phishtank.com/phish_detail.php?phish_id=6746502,2020-08-27T05:03:04+00:00,yes,2020-08-27T05:12:29+00:00,yes,Other
6746501,https://my3-billinginfo.com/banks/online.tsb.co.uk/index.php,http://www.phishtank.com/phish_detail.php?phish_id=6746501,2020-08-27T05:03:00+00:00,yes,2020-08-27T05:11:48+00:00,yes,Other
6746500,https://smamerica.com/wp-content/plugins/ii/alibaba/?email=cchuan@icmtalent.com,http://www.phishtank.com/phish_detail.php?phish_id=6746500,2020-08-27T05:02:56+00:00,yes,2020-08-27T05:11:48+00:00,yes,Other
6746499,https://funnyplay.xyz/app/facebook.com/?lang=en&key=i10nfFXSy2AqX8lxm7eNhUy28Z7Pw6eqPU0KtNGhPaKuJ1gKicsVWoKGhE1XJwv5feoh3i9q8g4NamBvAZCKzqEuDrqMUW2B9UeXE8R6c7fDTvSiyRe9YqLBVMBm6QJe8YMpHV4A1yYn1o98MUCQeXd35pJ7itC89zMU0Vf9ycDNp1ed31HvyrS6PdBUdoYgT2RpYwap,http://www.phishtank.com/phish_detail.php?phish_id=6746499,2020-08-27T05:02:53+00:00,yes,2020-08-27T05:11:48+00:00,yes,Other
6746498,http://funnyplay.xyz/app/facebook.com/,http://www.phishtank.com/phish_detail.php?phish_id=6746498,2020-08-27T05:02:52+00:00,yes,2020-08-27T05:11:48+00:00,yes,Other
6746497,https://funnyplay.xyz/app/facebook.com/?lang=en&key=cs4sDnBpKNn6RgrbfLoO8ghIWraXn1HOxYwjgV7EOmdfVoHxoe8e1OICiY1HY7L3FQOuWjV9gIpzMkaLM62E099hNOmNplhY8I2nSySgGJX2Q9tNItuNDradmRdoBtr4YFx5WE5lkayzfShQAqsna7xf5oAPbcSTamAGnmcnRvDqHQYEf7LZCZ2IWzoe4ucAy0iGRWeo,http://www.phishtank.com/phish_detail.php?phish_id=6746497,2020-08-27T05:02:48+00:00,yes,2020-08-27T05:11:48+00:00,yes,Other
6746496,http://funnyplay.xyz/app/facebook.com,http://www.phishtank.com/phish_detail.php?phish_id=6746496,2020-08-27T05:02:47+00:00,yes,2020-08-27T05:11:07+00:00,yes,Other
6746495,https://marketscan.ai/www.ebay.de/act.php,http://www.phishtank.com/phish_detail.php?phish_id=6746495,2020-08-27T05:02:41+00:00,yes,2020-08-27T05:11:07+00:00,yes,Other
6746493,http://www.orientalrugcleanings.com/wp-includes/gpt-2/capitalsms/Capitalone,http://www.phishtank.com/phish_detail.php?phish_id=6746493,2020-08-27T05:02:36+00:00,yes,2020-08-27T05:11:07+00:00,yes,Other
6746494,http://www.orientalrugcleanings.com/wp-includes/gpt-2/capitalsms/Capitalone/,http://www.phishtank.com/phish_detail.php?phish_id=6746494,2020-08-27T05:02:36+00:00,yes,2020-08-27T05:11:07+00:00,yes,Other
6746492,http://rehabalt.ca/wp-content/plugins/apikey/chase/firstlog.php?public/enroll/IdentifyUser-aspx-LOB=RBGLogon=MTE4NTU3NTk5OQ==MTE4NTU3NTk5OQ==&amp;session=MTE4NTU3NTk5OQ==MTE4NTU3NTk5OQ==,http://www.phishtank.com/phish_detail.php?phish_id=6746492,2020-08-27T05:02:32+00:00,yes,2020-08-27T05:10:26+00:00,yes,Other
6746491,https://harmonyrealestate.ae/clients/images/pnfile/0nfile/oneddrive/login-option.php?cmd=login_submit&amp;id=74fe962028bb3506a98fafdaf70ca4ef74fe962028bb3506a98fafdaf70ca4ef&amp;session=74fe962028bb3506a98fafdaf70ca4ef74fe962028bb3506a98fafdaf70ca4ef,http://www.phishtank.com/phish_detail.php?phish_id=6746491,2020-08-27T05:02:28+00:00,yes,2020-08-27T05:10:26+00:00,yes,Other
